"","Date","Team","Lo","Avg","Hi","PrWL","TrWL","TeamPts","OppPts","Opp","WL","WinLoss"
"3649","2020-03-07","Cavaliers",0.239,0.284,0.333,"0",1,104,102,"Nuggets",0.42,"Loss"
"3650","2020-03-07","Grizzlies",0.712,0.758,0.798,"1",1,118,101,"Hawks",0.42,"Win"
"3651","2020-03-07","Hawks",0.191,0.22,0.251,"0",0,101,118,"Grizzlies",0.42,"Win"
"3652","2020-03-07","Hornets",0.255,0.31,0.371,"0",1,108,99,"Rockets",0.42,"Loss"
"3653","2020-03-07","Jazz",0.613,0.679,0.738,"1",1,111,105,"Pistons",0.42,"Win"
"3654","2020-03-07","Kings",0.184,0.218,0.257,"0",1,123,111,"Blazers",0.42,"Loss"
"3655","2020-03-07","Nuggets",0.636,0.695,0.747,"1",0,102,104,"Cavaliers",0.42,"Loss"
"3656","2020-03-07","Pistons",0.252,0.301,0.355,"0",0,105,111,"Jazz",0.42,"Win"
"3657","2020-03-07","Rockets",0.602,0.673,0.737,"1",0,99,108,"Hornets",0.42,"Loss"
"3658","2020-03-07","Warriors",0.438,0.482,0.525,"0",1,118,114,"76ers",0.42,"Loss"
"3627","2020-03-06","Blazers",0.548,0.613,0.673,"1",0,117,127,"Suns",0.7,"Loss"
"3628","2020-03-06","Bucks",0.34,0.393,0.45,"0",0,103,113,"Lakers",0.7,"Win"
"3629","2020-03-06","Bulls",0.253,0.316,0.386,"0",0,102,108,"Pacers",0.7,"Win"
"3630","2020-03-06","Celtics",0.595,0.656,0.713,"1",0,94,99,"Jazz",0.7,"Loss"
"3631","2020-03-06","Grizzlies",0.257,0.292,0.329,"0",0,96,121,"Mavericks",0.7,"Win"
"3632","2020-03-06","Hawks",0.359,0.409,0.461,"0",0,112,118,"Wizards",0.7,"Win"
"3633","2020-03-06","Heat",0.351,0.403,0.458,"0",0,104,110,"Pelicans",0.7,"Win"
"3634","2020-03-06","Jazz",0.27,0.315,0.364,"0",1,99,94,"Celtics",0.7,"Loss"
"3635","2020-03-06","Knicks",0.315,0.362,0.411,"0",0,103,126,"Thunder",0.7,"Win"
"3636","2020-03-06","Lakers",0.524,0.584,0.641,"1",1,113,103,"Bucks",0.7,"Win"
"3637","2020-03-06","Magic",0.374,0.435,0.498,"0",1,132,118,"Timberwolves",0.7,"Loss"
"3638","2020-03-06","Mavericks",0.639,0.682,0.723,"1",1,121,96,"Grizzlies",0.7,"Win"
"3639","2020-03-06","Nets",0.454,0.536,0.616,"1",1,139,120,"Spurs",0.7,"Win"
"3640","2020-03-06","Pacers",0.583,0.656,0.722,"1",1,108,102,"Bulls",0.7,"Win"
"3641","2020-03-06","Pelicans",0.508,0.567,0.625,"1",1,110,104,"Heat",0.7,"Win"
"3642","2020-03-06","Spurs",0.35,0.432,0.519,"0",0,120,139,"Nets",0.7,"Win"
"3643","2020-03-06","Suns",0.3,0.357,0.42,"0",1,127,117,"Blazers",0.7,"Loss"
"3644","2020-03-06","Thunder",0.553,0.614,0.672,"1",1,126,103,"Knicks",0.7,"Win"
"3645","2020-03-06","Timberwolves",0.463,0.534,0.604,"1",0,118,132,"Magic",0.7,"Loss"
"3646","2020-03-06","Wizards",0.508,0.56,0.61,"1",1,118,112,"Hawks",0.7,"Win"
"3619","2020-03-05","76ers",0.356,0.404,0.453,"0",1,125,108,"Kings",0.5,"Loss"
"3620","2020-03-05","Clippers",0.346,0.394,0.443,"0",1,120,105,"Rockets",0.5,"Loss"
"3621","2020-03-05","Hornets",0.229,0.282,0.341,"0",0,112,114,"Nuggets",0.5,"Win"
"3622","2020-03-05","Kings",0.522,0.566,0.609,"1",0,108,125,"76ers",0.5,"Loss"
"3623","2020-03-05","Nuggets",0.626,0.694,0.755,"1",1,114,112,"Hornets",0.5,"Win"
"3624","2020-03-05","Raptors",0.536,0.607,0.674,"1",1,121,113,"Warriors",0.5,"Win"
"3625","2020-03-05","Rockets",0.524,0.577,0.628,"1",0,105,120,"Clippers",0.5,"Loss"
"3626","2020-03-05","Warriors",0.311,0.37,0.433,"0",0,113,121,"Raptors",0.5,"Win"
"3601","2020-03-04","Blazers",0.693,0.742,0.786,"1",1,125,105,"Wizards",0.94,"Win"
"3602","2020-03-04","Bucks",0.713,0.767,0.813,"1",1,119,100,"Pacers",0.94,"Win"
"3603","2020-03-04","Bulls",0.243,0.292,0.347,"0",0,108,115,"Timberwolves",0.94,"Win"
"3604","2020-03-04","Cavaliers",0.239,0.28,0.325,"0",0,106,112,"Celtics",0.94,"Win"
"3605","2020-03-04","Celtics",0.632,0.695,0.751,"1",1,112,106,"Cavaliers",0.94,"Win"
"3606","2020-03-04","Grizzlies",0.399,0.47,0.542,"0",1,118,79,"Nets",0.94,"Loss"
"3607","2020-03-04","Heat",0.71,0.754,0.794,"1",1,116,113,"Magic",0.94,"Win"
"3608","2020-03-04","Jazz",0.557,0.625,0.688,"1",1,112,104,"Knicks",0.94,"Win"
"3609","2020-03-04","Knicks",0.297,0.346,0.399,"0",0,104,112,"Jazz",0.94,"Win"
"3610","2020-03-04","Magic",0.194,0.223,0.255,"0",0,113,116,"Heat",0.94,"Win"
"3611","2020-03-04","Mavericks",0.66,0.707,0.75,"1",1,127,123,"Pelicans",0.94,"Win"
"3612","2020-03-04","Nets",0.432,0.496,0.561,"0",0,79,118,"Grizzlies",0.94,"Win"
"3613","2020-03-04","Pacers",0.175,0.219,0.27,"0",0,100,119,"Bucks",0.94,"Win"
"3614","2020-03-04","Pelicans",0.228,0.266,0.307,"0",0,123,127,"Mavericks",0.94,"Win"
"3615","2020-03-04","Pistons",0.213,0.255,0.303,"0",0,107,114,"Thunder",0.94,"Win"
"3616","2020-03-04","Thunder",0.665,0.721,0.77,"1",1,114,107,"Pistons",0.94,"Win"
"3617","2020-03-04","Timberwolves",0.619,0.678,0.731,"1",1,115,108,"Bulls",0.94,"Win"
"3618","2020-03-04","Wizards",0.2,0.234,0.273,"0",0,105,125,"Blazers",0.94,"Win"
"3585","2020-03-03","76ers",0.171,0.216,0.27,"0",0,107,120,"Lakers",0.62,"Win"
"3586","2020-03-03","Celtics",0.753,0.799,0.839,"1",0,120,129,"Nets",0.62,"Loss"
"3587","2020-03-03","Clippers",0.514,0.563,0.611,"1",1,109,94,"Thunder",0.62,"Win"
"3588","2020-03-03","Hornets",0.236,0.284,0.337,"0",0,103,104,"Spurs",0.62,"Win"
"3589","2020-03-03","Kings",0.659,0.7,0.739,"1",1,133,126,"Wizards",0.62,"Win"
"3590","2020-03-03","Lakers",0.713,0.769,0.817,"1",1,120,107,"76ers",0.62,"Win"
"3591","2020-03-03","Nets",0.155,0.186,0.221,"0",1,129,120,"Celtics",0.62,"Loss"
"3592","2020-03-03","Nuggets",0.708,0.768,0.818,"1",0,100,116,"Warriors",0.62,"Loss"
"3593","2020-03-03","Pelicans",0.727,0.781,0.826,"1",0,134,139,"Timberwolves",0.62,"Loss"
"3594","2020-03-03","Raptors",0.668,0.724,0.774,"1",1,123,114,"Suns",0.62,"Win"
"3595","2020-03-03","Spurs",0.626,0.686,0.741,"1",1,104,103,"Hornets",0.62,"Win"
"3596","2020-03-03","Suns",0.211,0.252,0.298,"0",0,114,123,"Raptors",0.62,"Win"
"3597","2020-03-03","Thunder",0.363,0.404,0.446,"0",0,94,109,"Clippers",0.62,"Win"
"3598","2020-03-03","Timberwolves",0.164,0.207,0.259,"0",1,139,134,"Pelicans",0.62,"Loss"
"3599","2020-03-03","Warriors",0.166,0.212,0.267,"0",1,116,100,"Nuggets",0.62,"Loss"
"3600","2020-03-03","Wizards",0.242,0.273,0.306,"0",0,126,133,"Kings",0.62,"Win"
"3571","2020-03-02","Blazers",0.244,0.301,0.365,"0",1,130,107,"Magic",0.21,"Loss"
"3572","2020-03-02","Bucks",0.56,0.614,0.666,"1",0,89,105,"Heat",0.21,"Loss"
"3573","2020-03-02","Bulls",0.238,0.281,0.329,"0",1,109,107,"Mavericks",0.21,"Loss"
"3574","2020-03-02","Cavaliers",0.241,0.293,0.351,"0",0,113,126,"Jazz",0.21,"Win"
"3575","2020-03-02","Grizzlies",0.363,0.411,0.46,"0",1,127,88,"Hawks",0.21,"Loss"
"3576","2020-03-02","Hawks",0.513,0.557,0.6,"1",0,88,127,"Grizzlies",0.21,"Loss"
"3577","2020-03-02","Heat",0.319,0.357,0.396,"0",1,105,89,"Bucks",0.21,"Loss"
"3578","2020-03-02","Jazz",0.63,0.693,0.749,"1",1,126,113,"Cavaliers",0.21,"Win"
"3579","2020-03-02","Knicks",0.241,0.296,0.358,"0",1,125,123,"Rockets",0.21,"Loss"
"3580","2020-03-02","Magic",0.609,0.672,0.729,"1",0,107,130,"Blazers",0.21,"Loss"
"3581","2020-03-02","Mavericks",0.629,0.695,0.755,"1",0,107,109,"Bulls",0.21,"Loss"
"3582","2020-03-02","Pacers",0.432,0.489,0.546,"0",1,116,111,"Spurs",0.21,"Loss"
"3583","2020-03-02","Rockets",0.632,0.697,0.755,"1",0,123,125,"Knicks",0.21,"Loss"
"3584","2020-03-02","Spurs",0.415,0.478,0.542,"0",0,111,116,"Pacers",0.21,"Win"
"3557","2020-03-01","76ers",0.188,0.234,0.287,"0",0,130,136,"Clippers",0.93,"Win"
"3558","2020-03-01","Bucks",0.647,0.703,0.753,"1",1,93,85,"Hornets",0.93,"Win"
"3559","2020-03-01","Clippers",0.694,0.749,0.797,"1",1,136,130,"76ers",0.93,"Win"
"3560","2020-03-01","Hornets",0.235,0.273,0.314,"0",0,85,93,"Bucks",0.93,"Win"
"3561","2020-03-01","Kings",0.722,0.768,0.808,"1",1,106,100,"Pistons",0.93,"Win"
"3562","2020-03-01","Lakers",0.428,0.493,0.559,"0",1,122,114,"Pelicans",0.93,"Loss"
"3563","2020-03-01","Mavericks",0.654,0.709,0.758,"1",1,111,91,"Timberwolves",0.93,"Win"
"3564","2020-03-01","Nuggets",0.56,0.612,0.661,"1",1,133,118,"Raptors",0.93,"Win"
"3565","2020-03-01","Pelicans",0.423,0.477,0.532,"0",0,114,122,"Lakers",0.93,"Win"
"3566","2020-03-01","Pistons",0.182,0.213,0.248,"0",0,100,106,"Kings",0.93,"Win"
"3567","2020-03-01","Raptors",0.303,0.356,0.412,"0",0,118,133,"Nuggets",0.93,"Win"
"3568","2020-03-01","Timberwolves",0.228,0.267,0.309,"0",0,91,111,"Mavericks",0.93,"Win"
"3569","2020-03-01","Warriors",0.34,0.4,0.463,"0",0,110,124,"Wizards",0.93,"Win"
"3570","2020-03-01","Wizards",0.506,0.568,0.629,"1",1,124,110,"Warriors",0.93,"Win"
"3541","2020-02-29","Blazers",0.241,0.287,0.338,"0",0,117,129,"Hawks",0.62,"Win"
"3542","2020-02-29","Bulls",0.311,0.35,0.391,"0",0,115,125,"Knicks",0.62,"Win"
"3543","2020-02-29","Cavaliers",0.215,0.263,0.317,"0",0,104,113,"Pacers",0.62,"Win"
"3544","2020-02-29","Celtics",0.548,0.615,0.678,"1",0,110,111,"Rockets",0.62,"Loss"
"3545","2020-02-29","Grizzlies",0.237,0.289,0.348,"0",1,105,88,"Lakers",0.62,"Loss"
"3546","2020-02-29","Hawks",0.632,0.685,0.733,"1",1,129,117,"Blazers",0.62,"Win"
"3547","2020-02-29","Heat",0.71,0.765,0.812,"1",1,116,113,"Nets",0.62,"Win"
"3548","2020-02-29","Knicks",0.576,0.618,0.659,"1",1,125,115,"Bulls",0.62,"Win"
"3549","2020-02-29","Lakers",0.622,0.691,0.753,"1",0,88,105,"Grizzlies",0.62,"Loss"
"3550","2020-02-29","Magic",0.21,0.248,0.292,"0",0,113,114,"Spurs",0.62,"Win"
"3551","2020-02-29","Nets",0.179,0.219,0.265,"0",0,113,116,"Heat",0.62,"Win"
"3552","2020-02-29","Pacers",0.652,0.716,0.773,"1",1,113,104,"Cavaliers",0.62,"Win"
"3553","2020-02-29","Rockets",0.305,0.356,0.411,"0",1,111,110,"Celtics",0.62,"Loss"
"3554","2020-02-29","Spurs",0.673,0.725,0.772,"1",1,114,113,"Magic",0.62,"Win"
"3555","2020-02-29","Suns",0.748,0.8,0.843,"1",0,99,115,"Warriors",0.62,"Loss"
"3556","2020-02-29","Warriors",0.146,0.183,0.227,"0",1,115,99,"Suns",0.62,"Loss"
"3521","2020-02-28","Bucks",0.738,0.795,0.843,"1",1,133,86,"Thunder",0.6,"Win"
"3522","2020-02-28","Cavaliers",0.153,0.183,0.216,"0",0,104,116,"Pelicans",0.6,"Win"
"3523","2020-02-28","Clippers",0.699,0.74,0.776,"1",1,132,103,"Nuggets",0.6,"Win"
"3524","2020-02-28","Grizzlies",0.573,0.641,0.705,"1",0,101,104,"Kings",0.6,"Loss"
"3525","2020-02-28","Hawks",0.365,0.421,0.478,"0",1,141,118,"Nets",0.6,"Loss"
"3526","2020-02-28","Heat",0.603,0.663,0.718,"1",1,126,118,"Mavericks",0.6,"Win"
"3527","2020-02-28","Hornets",0.148,0.182,0.222,"0",1,99,96,"Raptors",0.6,"Loss"
"3528","2020-02-28","Jazz",0.747,0.802,0.848,"1",1,129,119,"Wizards",0.6,"Win"
"3529","2020-02-28","Kings",0.268,0.331,0.4,"0",1,104,101,"Grizzlies",0.6,"Loss"
"3530","2020-02-28","Magic",0.72,0.774,0.82,"1",1,136,125,"Timberwolves",0.6,"Win"
"3531","2020-02-28","Mavericks",0.254,0.31,0.371,"0",0,118,126,"Heat",0.6,"Win"
"3532","2020-02-28","Nets",0.493,0.548,0.603,"1",0,118,141,"Hawks",0.6,"Loss"
"3533","2020-02-28","Nuggets",0.21,0.244,0.281,"0",0,103,132,"Clippers",0.6,"Win"
"3534","2020-02-28","Pelicans",0.766,0.805,0.839,"1",1,116,104,"Cavaliers",0.6,"Win"
"3535","2020-02-28","Pistons",0.135,0.17,0.212,"0",1,113,111,"Suns",0.6,"Loss"
"3536","2020-02-28","Raptors",0.766,0.81,0.847,"1",0,96,99,"Hornets",0.6,"Loss"
"3537","2020-02-28","Suns",0.765,0.814,0.855,"1",0,111,113,"Pistons",0.6,"Loss"
"3538","2020-02-28","Thunder",0.151,0.198,0.256,"0",0,86,133,"Bucks",0.6,"Win"
"3539","2020-02-28","Timberwolves",0.166,0.208,0.257,"0",0,125,136,"Magic",0.6,"Win"
"3540","2020-02-28","Wizards",0.144,0.188,0.241,"0",0,119,129,"Jazz",0.6,"Win"
"3513","2020-02-27","76ers",0.722,0.768,0.808,"1",1,115,106,"Knicks",1,"Win"
"3514","2020-02-27","Blazers",0.164,0.221,0.29,"0",0,100,106,"Pacers",1,"Win"
"3515","2020-02-27","Kings",0.156,0.187,0.223,"0",0,108,112,"Thunder",1,"Win"
"3516","2020-02-27","Knicks",0.184,0.213,0.245,"0",0,106,115,"76ers",1,"Win"
"3517","2020-02-27","Lakers",0.6,0.667,0.728,"1",1,116,86,"Warriors",1,"Win"
"3518","2020-02-27","Pacers",0.693,0.764,0.823,"1",1,106,100,"Blazers",1,"Win"
"3519","2020-02-27","Thunder",0.756,0.8,0.838,"1",1,112,108,"Kings",1,"Win"
"3520","2020-02-27","Warriors",0.264,0.32,0.382,"0",0,86,116,"Lakers",1,"Win"
"3495","2020-02-26","Hawks",0.346,0.415,0.488,"0",0,120,130,"Magic",0.5,"Win"
"3496","2020-02-26","Celtics",0.336,0.399,0.465,"0",1,114,103,"Jazz",0.5,"Loss"
"3497","2020-02-26","Nets",0.482,0.532,0.581,"1",0,106,110,"Wizards",0.5,"Loss"
"3498","2020-02-26","Hornets",0.421,0.5,0.578,"0",1,107,101,"Knicks",0.5,"Loss"
"3499","2020-02-26","Cavaliers",0.25,0.3,0.356,"0",1,108,94,"76ers",0.5,"Loss"
"3500","2020-02-26","Mavericks",0.653,0.718,0.774,"1",1,109,103,"Spurs",0.5,"Win"
"3501","2020-02-26","Rockets",0.75,0.802,0.845,"1",1,140,112,"Grizzlies",0.5,"Win"
"3502","2020-02-26","Clippers",0.656,0.711,0.76,"1",1,102,92,"Clippers",0.5,"Win"
"3503","2020-02-26","Grizzlies",0.149,0.192,0.243,"0",0,112,140,"Rockets",0.5,"Win"
"3504","2020-02-26","Heat",0.769,0.813,0.85,"1",0,126,129,"Timberwolves",0.5,"Loss"
"3505","2020-02-26","Timberwolves",0.144,0.175,0.211,"0",1,129,126,"Heat",0.5,"Loss"
"3506","2020-02-26","Knicks",0.399,0.467,0.536,"0",0,101,107,"Knicks",0.5,"Win"
"3507","2020-02-26","Magic",0.485,0.551,0.615,"1",1,130,120,"Hawks",0.5,"Win"
"3508","2020-02-26","76ers",0.615,0.681,0.741,"1",0,94,108,"Cavaliers",0.5,"Loss"
"3509","2020-02-26","Suns",0.231,0.271,0.315,"0",0,92,102,"Clippers",0.5,"Win"
"3510","2020-02-26","Spurs",0.204,0.257,0.317,"0",0,103,109,"Spurs",0.5,"Win"
"3511","2020-02-26","Jazz",0.512,0.569,0.623,"1",0,103,114,"Celtics",0.5,"Loss"
"3512","2020-02-26","Wizards",0.385,0.435,0.486,"0",1,110,106,"Nets",0.5,"Loss"
"3481","2020-02-25","Celtics",0.638,0.694,0.745,"1",1,118,106,"Blazers",0.86,"Win"
"3482","2020-02-25","Hornets",0.151,0.191,0.238,"0",0,80,119,"Pacers",0.86,"Win"
"3483","2020-02-25","Bulls",0.198,0.237,0.282,"0",0,122,124,"Thunder",0.86,"Win"
"3484","2020-02-25","Nuggets",0.752,0.798,0.837,"1",1,115,98,"Pistons",0.86,"Win"
"3485","2020-02-25","Pistons",0.156,0.191,0.232,"0",0,98,115,"Nuggets",0.86,"Win"
"3486","2020-02-25","Warriors",0.205,0.25,0.301,"0",0,94,112,"Warriors",0.86,"Win"
"3487","2020-02-25","Pacers",0.744,0.796,0.839,"1",1,119,80,"Hornets",0.86,"Win"
"3488","2020-02-25","Lakers",0.717,0.772,0.819,"1",1,118,109,"Pelicans",0.86,"Win"
"3489","2020-02-25","Bucks",0.41,0.458,0.507,"0",1,108,97,"Raptors",0.86,"Loss"
"3490","2020-02-25","Pelicans",0.171,0.217,0.271,"0",0,109,118,"Lakers",0.86,"Win"
"3491","2020-02-25","Thunder",0.689,0.743,0.791,"1",1,124,122,"Thunder",0.86,"Win"
"3492","2020-02-25","Blazers",0.241,0.282,0.327,"0",0,106,118,"Blazers",0.86,"Win"
"3493","2020-02-25","Kings",0.667,0.726,0.779,"1",1,112,94,"Warriors",0.86,"Win"
"3494","2020-02-25","Raptors",0.557,0.601,0.644,"1",0,97,108,"Bucks",0.86,"Loss"
"3465","2020-02-24","Hawks",0.152,0.187,0.228,"0",0,112,129,"76ers",0.62,"Win"
"3466","2020-02-24","Nets",0.665,0.721,0.771,"1",0,113,115,"Magic",0.62,"Loss"
"3467","2020-02-24","Cavaliers",0.192,0.233,0.279,"0",1,125,119,"Heat",0.62,"Loss"
"3468","2020-02-24","Mavericks",0.743,0.795,0.838,"1",1,139,123,"Timberwolves",0.62,"Win"
"3469","2020-02-24","Rockets",0.758,0.804,0.843,"1",1,123,112,"Knicks",0.62,"Win"
"3470","2020-02-24","Clippers",0.708,0.765,0.814,"1",1,124,97,"Clippers",0.62,"Win"
"3471","2020-02-24","Grizzlies",0.173,0.22,0.275,"0",0,97,124,"Clippers",0.62,"Win"
"3472","2020-02-24","Heat",0.692,0.747,0.796,"1",0,119,125,"Cavaliers",0.62,"Loss"
"3473","2020-02-24","Bucks",0.604,0.674,0.736,"1",1,137,134,"Wizards",0.62,"Win"
"3474","2020-02-24","Timberwolves",0.152,0.19,0.235,"0",0,123,139,"Mavericks",0.62,"Win"
"3475","2020-02-24","Knicks",0.152,0.186,0.227,"0",0,112,123,"Knicks",0.62,"Win"
"3476","2020-02-24","Magic",0.212,0.255,0.303,"0",1,115,113,"Nets",0.62,"Loss"
"3477","2020-02-24","76ers",0.751,0.798,0.838,"1",1,129,112,"Hawks",0.62,"Win"
"3478","2020-02-24","Suns",0.158,0.191,0.229,"0",1,131,111,"Jazz",0.62,"Loss"
"3479","2020-02-24","Jazz",0.756,0.799,0.836,"1",0,111,131,"Suns",0.62,"Loss"
"3480","2020-02-24","Wizards",0.256,0.314,0.379,"0",0,134,137,"Bucks",0.62,"Win"
"3451","2020-02-23","Celtics",0.186,0.229,0.279,"0",0,112,114,"Lakers",0.86,"Win"
"3452","2020-02-23","Bulls",0.361,0.419,0.48,"0",1,126,117,"Wizards",0.86,"Loss"
"3453","2020-02-23","Nuggets",0.706,0.766,0.817,"1",1,128,116,"Timberwolves",0.86,"Win"
"3454","2020-02-23","Pistons",0.154,0.193,0.239,"0",0,104,107,"Blazers",0.86,"Win"
"3455","2020-02-23","Warriors",0.263,0.321,0.385,"0",0,101,115,"Pelicans",0.86,"Win"
"3456","2020-02-23","Pacers",0.166,0.195,0.229,"0",0,81,127,"Raptors",0.86,"Win"
"3457","2020-02-23","Lakers",0.7,0.753,0.8,"1",1,114,112,"Lakers",0.86,"Win"
"3458","2020-02-23","Timberwolves",0.171,0.219,0.276,"0",0,116,128,"Nuggets",0.86,"Win"
"3459","2020-02-23","Pelicans",0.607,0.672,0.731,"1",1,115,101,"Warriors",0.86,"Win"
"3460","2020-02-23","Thunder",0.687,0.73,0.77,"1",1,131,103,"Spurs",0.86,"Win"
"3461","2020-02-23","Blazers",0.737,0.793,0.841,"1",1,107,104,"Blazers",0.86,"Win"
"3462","2020-02-23","Spurs",0.215,0.246,0.279,"0",0,103,131,"Thunder",0.86,"Win"
"3463","2020-02-23","Raptors",0.748,0.79,0.828,"1",1,127,81,"Pacers",0.86,"Win"
"3464","2020-02-23","Wizards",0.486,0.547,0.606,"1",0,117,126,"Bulls",0.86,"Loss"
"3437","2020-02-22","76ers",0.165,0.206,0.253,"0",0,98,119,"Bucks",0.64,"Win"
"3438","2020-02-22","Bucks",0.736,0.786,0.828,"1",1,119,98,"76ers",0.64,"Win"
"3439","2020-02-22","Bulls",0.338,0.392,0.448,"0",0,104,112,"Suns",0.64,"Win"
"3440","2020-02-22","Cavaliers",0.153,0.19,0.234,"0",0,105,124,"Heat",0.64,"Win"
"3441","2020-02-22","Clippers",0.753,0.802,0.843,"1",0,103,112,"Kings",0.64,"Loss"
"3442","2020-02-22","Hawks",0.41,0.459,0.51,"0",1,111,107,"Mavericks",0.64,"Loss"
"3443","2020-02-22","Heat",0.737,0.793,0.84,"1",1,124,105,"Cavaliers",0.64,"Win"
"3444","2020-02-22","Hornets",0.284,0.325,0.369,"0",0,86,115,"Nets",0.64,"Win"
"3445","2020-02-22","Jazz",0.442,0.493,0.543,"0",0,110,120,"Rockets",0.64,"Win"
"3446","2020-02-22","Kings",0.151,0.18,0.214,"0",1,112,103,"Clippers",0.64,"Loss"
